[['Indiana Pacers', 0.37, 15.0, 16.0, 0.824], ['New York Knicks', 0.379, 14.0, 10.0, 0.778], 1]
[['Miami Heat', 0.408, 24.0, 7.0, 0.905], ['Orlando Magic', 0.514, 21.0, 12.0, 0.906], 1]
[['Toronto Raptors', 0.419, 10.0, 9.0, 0.786], ['Philadelphia 76ers', 0.447, 20.0, 9.0, 0.742], 1]
[['Detroit Pistons', 0.402, 15.0, 15.0, 0.75], ['Atlanta Hawks', 0.507, 21.0, 5.0, 0.708], 0]
[['Portland Trail Blazers', 0.407, 16.0, 16.0, 0.667], ['Milwaukee Bucks', 0.438, 19.0, 12.0, 0.583], 1]
[['Los Angeles Clippers', 0.378, 14.0, 10.0, 0.806], ['Minnesota Timberwolves', 0.494, 19.0, 6.0, 0.625], 1]
[['Utah Jazz', 0.446, 14.0, 9.0, 0.8], ['New Orleans Pelicans', 0.506, 12.0, 14.0, 0.606], 0]
[['Boston Celtics', 0.453, 17.0, 10.0, 0.917], ['San Antonio Spurs', 0.481, 11.0, 7.0, 0.75], 0]
[['Sacramento Kings', 0.447, 17.0, 13.0, 0.682], ['Phoenix Suns', 0.463, 10.0, 9.0, 0.842], 1]
[['Houston Rockets', 0.553, 11.0, 8.0, 0.727], ['Dallas Mavericks', 0.583, 15.0, 7.0, 0.848], 0]
[['Memphis Grizzlies', 0.386, 6.0, 16.0, 0.895], ['Golden State Warriors', 0.439, 14.0, 7.0, 0.5], 1]
[['Los Angeles Clippers', 0.413, 10.0, 10.0, 0.467], ['Oklahoma City Thunder', 0.519, 17.0, 9.0, 0.655], 0]
[['Chicago Bulls', 0.388, 17.0, 22.0, 0.571], ['Denver Nuggets', 0.452, 15.0, 13.0, 0.545], 0]
[['Phoenix Suns', 0.416, 16.0, 11.0, 0.727], ['Charlotte Bobcats', 0.471, 21.0, 9.0, 0.579], 1]
[['Milwaukee Bucks', 0.441, 16.0, 10.0, 0.708], ['Philadelphia 76ers', 0.57, 26.0, 10.0, 0.621], 0]
[['Washington Wizards', 0.419, 14.0, 9.0, 0.769], ['Toronto Raptors', 0.474, 14.0, 13.0, 0.739], 0]
[['Indiana Pacers', 0.469, 15.0, 15.0, 0.833], ['Boston Celtics', 0.507, 21.0, 5.0, 0.778], 1]
[['Atlanta Hawks', 0.429, 15.0, 11.0, 0.636], ['Detroit Pistons', 0.435, 14.0, 11.0, 0.667], 1]
[['San Antonio Spurs', 0.438, 14.0, 12.0, 0.765], ['Memphis Grizzlies', 0.532, 15.0, 11.0, 0.688], 1]
[['Brooklyn Nets', 0.397, 20.0, 10.0, 0.7], ['Minnesota Timberwolves', 0.412, 8.0, 17.0, 0.87], 0]
[['Cleveland Cavaliers', 0.409, 12.0, 19.0, 0.788], ['New Orleans Pelicans', 0.532, 19.0, 6.0, 0.625], 0]
[['Utah Jazz', 0.5, 17.0, 9.0, 0.667], ['Dallas Mavericks', 0.507, 16.0, 13.0, 0.741], 0]
[['Chicago Bulls', 0.386, 14.0, 17.0, 0.897], ['Portland Trail Blazers', 0.409, 12.0, 10.0, 0.933], 0]
[['Golden State Warriors', 0.415, 18.0, 16.0, 0.643], ['Los Angeles Lakers', 0.476, 14.0, 7.0, 0.765], 0]
[['Sacramento Kings', 0.42, 10.0, 11.0, 0.767], ['Los Angeles Clippers', 0.485, 17.0, 5.0, 0.578], 0]
[['Philadelphia 76ers', 0.343, 14.0, 23.0, 0.75], ['Indiana Pacers', 0.461, 19.0, 8.0, 0.816], 0]
[['New York Knicks', 0.439, 9.0, 11.0, 0.4], ['Washington Wizards', 0.487, 12.0, 11.0, 0.773], 0]
[['Boston Celtics', 0.387, 8.0, 12.0, 0.833], ['Atlanta Hawks', 0.458, 17.0, 7.0, 0.774], 1]
[['Orlando Magic', 0.466, 16.0, 10.0, 0.724], ['Miami Heat', 0.474, 12.0, 4.0, 0.808], 0]
