[['Oklahoma City Thunder', 0.357, 13.0, 12.0, 0.684], ['Utah Jazz', 0.432, 13.0, 12.0, 0.692], 0]
[['New Orleans Pelicans', 0.442, 15.0, 17.0, 0.69], ['Sacramento Kings', 0.494, 6.0, 4.0, 0.792], 1]
[['San Antonio Spurs', 0.446, 16.0, 10.0, 0.692], ['Cleveland Cavaliers', 0.473, 15.0, 10.0, 0.68], 1]
[['Charlotte Hornets', 0.43, 5.0, 12.0, 0.583], ['Indiana Pacers', 0.449, 11.0, 14.0, 0.667], 0]
[['Los Angeles Clippers', 0.395, 13.0, 11.0, 0.778], ['Orlando Magic', 0.536, 7.0, 2.0, 0.75], 1]
[['Boston Celtics', 0.395, 15.0, 9.0, 0.714], ['Philadelphia 76ers', 0.494, 15.0, 7.0, 0.619], 1]
[['Dallas Mavericks', 0.415, 12.0, 10.0, 0.862], ['Washington Wizards', 0.44, 13.0, 9.0, 0.857], 1]
[['Milwaukee Bucks', 0.444, 13.0, 16.0, 0.75], ['Brooklyn Nets', 0.478, 20.0, 10.0, 0.724], 1]
[['Phoenix Suns', 0.379, 14.0, 15.0, 0.684], ['Detroit Pistons', 0.493, 17.0, 5.0, 0.769], 1]
[['Memphis Grizzlies', 0.438, 13.0, 15.0, 0.731], ['Toronto Raptors', 0.458, 8.0, 7.0, 0.846], 0]
[['New York Knicks', 0.493, 22.0, 8.0, 0.786], ['Minnesota Timberwolves', 0.494, 14.0, 15.0, 0.727], 0]
[['Oklahoma City Thunder', 0.456, 10.0, 13.0, 0.72], ['Denver Nuggets', 0.488, 8.0, 12.0, 0.773], 0]
[['Los Angeles Lakers', 0.405, 17.0, 6.0, 0.739], ['Houston Rockets', 0.407, 13.0, 14.0, 0.826], 1]
[['Los Angeles Clippers', 0.448, 12.0, 6.0, 0.871], ['Miami Heat', 0.558, 13.0, 4.0, 0.647], 1]
[['Chicago Bulls', 0.429, 14.0, 13.0, 0.688], ['Sacramento Kings', 0.514, 13.0, 7.0, 0.852], 0]
[['Orlando Magic', 0.462, 7.0, 10.0, 0.6], ['Charlotte Hornets', 0.476, 8.0, 6.0, 0.719], 1]
[['Phoenix Suns', 0.462, 17.0, 10.0, 0.606], ['Philadelphia 76ers', 0.512, 13.0, 11.0, 0.913], 1]
[['Detroit Pistons', 0.373, 12.0, 13.0, 0.958], ['Atlanta Hawks', 0.475, 9.0, 8.0, 0.692], 0]
[['Milwaukee Bucks', 0.365, 12.0, 8.0, 0.688], ['Toronto Raptors', 0.523, 16.0, 15.0, 0.792], 0]
[['Boston Celtics', 0.432, 12.0, 9.0, 0.714], ['Memphis Grizzlies', 0.527, 14.0, 9.0, 0.929], 0]
[['San Antonio Spurs', 0.411, 11.0, 11.0, 0.636], ['Minnesota Timberwolves', 0.548, 20.0, 14.0, 0.889], 1]
[['Brooklyn Nets', 0.447, 13.0, 13.0, 0.632], ['Oklahoma City Thunder', 0.463, 18.0, 10.0, 0.9], 1]
[['Cleveland Cavaliers', 0.36, 19.0, 9.0, 0.783], ['Washington Wizards', 0.488, 17.0, 10.0, 0.556], 0]
[['Los Angeles Lakers', 0.518, 10.0, 13.0, 0.619], ['Dallas Mavericks', 0.622, 9.0, 11.0, 0.714], 0]
[['New Orleans Pelicans', 0.397, 12.0, 8.0, 0.882], ['Denver Nuggets', 0.524, 10.0, 8.0, 0.8], 0]
[['Utah Jazz', 0.427, 19.0, 14.0, 0.632], ['Golden State Warriors', 0.5, 13.0, 6.0, 0.684], 0]
[['Chicago Bulls', 0.361, 14.0, 11.0, 0.679], ['Portland Trail Blazers', 0.494, 17.0, 6.0, 0.818], 0]
