[['New Orleans Pelicans', 0.447, 14.0, 16.0, 0.675], ['Oklahoma City Thunder', 0.453, 11.0, 10.0, 1.0], 0]
[['Denver Nuggets', 0.388, 6.0, 17.0, 0.944], ['San Antonio Spurs', 0.488, 10.0, 10.0, 0.8], 0]
[['Toronto Raptors', 0.425, 14.0, 9.0, 0.889], ['Utah Jazz', 0.486, 17.0, 7.0, 0.727], 0]
[['Chicago Bulls', 0.407, 12.0, 14.0, 0.714], ['Phoenix Suns', 0.494, 19.0, 11.0, 0.857], 1]
[['Sacramento Kings', 0.472, 7.0, 12.0, 0.758], ['Miami Heat', 0.512, 18.0, 9.0, 0.55], 0]
[['Milwaukee Bucks', 0.521, 11.0, 6.0, 0.808], ['Cleveland Cavaliers', 0.563, 17.0, 13.0, 0.8], 0]
[['Golden State Warriors', 0.5, 10.0, 9.0, 0.667], ['Los Angeles Clippers', 0.521, 19.0, 8.0, 0.861], 1]
[['Philadelphia 76ers', 0.405, 17.0, 9.0, 0.727], ['Charlotte Hornets', 0.494, 11.0, 5.0, 0.955], 0]
[['Brooklyn Nets', 0.393, 19.0, 14.0, 0.708], ['Boston Celtics', 0.586, 16.0, 7.0, 0.8], 0]
[['Houston Rockets', 0.378, 23.0, 9.0, 0.595], ['Memphis Grizzlies', 0.424, 11.0, 8.0, 0.842], 0]
[['Detroit Pistons', 0.429, 17.0, 6.0, 0.68], ['Minnesota Timberwolves', 0.46, 14.0, 8.0, 0.769], 1]
[['San Antonio Spurs', 0.405, 8.0, 5.0, 0.813], ['New Orleans Pelicans', 0.455, 9.0, 7.0, 0.941], 0]
[['New York Knicks', 0.38, 14.0, 21.0, 0.739], ['Oklahoma City Thunder', 0.458, 20.0, 6.0, 0.652], 1]
[['Utah Jazz', 0.438, 17.0, 18.0, 0.81], ['Dallas Mavericks', 0.47, 8.0, 8.0, 0.941], 0]
[['Phoenix Suns', 0.456, 11.0, 14.0, 0.769], ['Denver Nuggets', 0.506, 19.0, 10.0, 0.76], 1]
[['Los Angeles Clippers', 0.422, 14.0, 17.0, 0.75], ['Portland Trail Blazers', 0.442, 13.0, 10.0, 0.5], 0]
[['Chicago Bulls', 0.398, 12.0, 15.0, 0.739], ['Golden State Warriors', 0.494, 15.0, 11.0, 0.75], 0]
[['Toronto Raptors', 0.436, 12.0, 12.0, 0.792], ['Los Angeles Lakers', 0.455, 15.0, 9.0, 0.765], 1]
[['Sacramento Kings', 0.383, 14.0, 10.0, 0.903], ['Orlando Magic', 0.413, 17.0, 15.0, 0.75], 1]
[['Milwaukee Bucks', 0.43, 23.0, 13.0, 0.684], ['Indiana Pacers', 0.516, 14.0, 11.0, 0.609], 0]
[['Atlanta Hawks', 0.372, 12.0, 12.0, 0.88], ['Cleveland Cavaliers', 0.482, 14.0, 11.0, 0.842], 0]
[['Washington Wizards', 0.456, 13.0, 8.0, 0.714], ['Detroit Pistons', 0.487, 11.0, 9.0, 0.7], 1]
[['New York Knicks', 0.425, 11.0, 19.0, 0.794], ['Houston Rockets', 0.432, 12.0, 16.0, 0.714], 1]
[['Philadelphia 76ers', 0.378, 16.0, 10.0, 0.792], ['Miami Heat', 0.435, 16.0, 9.0, 0.689], 0]
[['Memphis Grizzlies', 0.432, 16.0, 7.0, 1.0], ['San Antonio Spurs', 0.472, 17.0, 7.0, 0.773], 0]
[['Toronto Raptors', 0.372, 14.0, 14.0, 0.935], ['Los Angeles Clippers', 0.392, 19.0, 12.0, 0.75], 1]
[['Boston Celtics', 0.427, 17.0, 10.0, 0.81], ['Brooklyn Nets', 0.506, 14.0, 14.0, 0.788], 0]
[['Phoenix Suns', 0.389, 15.0, 11.0, 0.879], ['New Orleans Pelicans', 0.459, 14.0, 10.0, 0.825], 0]
[['Dallas Mavericks', 0.522, 16.0, 14.0, 0.778], ['Oklahoma City Thunder', 0.53, 17.0, 9.0, 0.571], 0]
[['Golden State Warriors', 0.43, 19.0, 13.0, 0.771], ['Denver Nuggets', 0.528, 21.0, 11.0, 0.692], 1]
[['Portland Trail Blazers', 0.364, 10.0, 15.0, 0.852], ['Los Angeles Lakers', 0.494, 10.0, 7.0, 0.765], 1]
[['Sacramento Kings', 0.5, 19.0, 8.0, 0.769], ['Charlotte Hornets', 0.5, 20.0, 8.0, 0.625], 0]
[['Orlando Magic', 0.494, 10.0, 9.0, 0.619], ['Cleveland Cavaliers', 0.531, 10.0, 8.0, 0.591], 0]
[['New York Knicks', 0.322, 11.0, 15.0, 0.857], ['Miami Heat', 0.383, 9.0, 16.0, 0.778], 0]
[['Detroit Pistons', 0.341, 17.0, 22.0, 0.833], ['Milwaukee Bucks', 0.518, 12.0, 12.0, 0.824], 0]
[['Philadelphia 76ers', 0.41, 19.0, 11.0, 0.778], ['Minnesota Timberwolves', 0.462, 17.0, 8.0, 0.926], 0]
[['Phoenix Suns', 0.466, 28.0, 9.0, 0.9], ['San Antonio Spurs', 0.512, 20.0, 11.0, 0.5], 0]
