[[0.191, 9.0, 8.0, 0.381], [0.444, 13.072, 10.47, 0.723], [0, 1]]
[[0.423, 13.442, 11.692, 0.732], [0.457, 12.453, 9.34, 0.73], [1, 0]]
[[0.437, 13.575, 11.247, 0.766], [0.442, 13.419, 10.405, 0.733], [1, 0]]
[[0.414, 11.909, 10.091, 0.668], [0.425, 11.364, 9.909, 0.698], [0, 1]]
[[0.423, 11.039, 9.286, 0.757], [0.417, 16.756, 10.91, 0.687], [1, 0]]
[[0.401, 14.5, 9.25, 0.612], [0.415, 12.286, 6.714, 0.631], [0, 1]]
[[0.437, 12.882, 10.529, 0.72], [0.44, 14.867, 11.8, 0.726], [0, 1]]
[[0.459, 14.179, 9.718, 0.732], [0.441, 16.218, 11.09, 0.742], [1, 0]]
[[0.388, 16.0, 10.6, 0.644], [0.373, 17.4, 10.5, 0.594], [1, 0]]
[[0.39, 16.643, 9.857, 0.627], [0.443, 13.2, 9.6, 0.704], [0, 1]]
[[0.403, 14.714, 11.714, 0.658], [0.449, 12.308, 8.769, 0.668], [0, 1]]
[[0.437, 15.0, 11.682, 0.737], [0.43, 12.261, 10.522, 0.75], [1, 0]]
[[0.458, 13.053, 10.289, 0.733], [0.433, 13.361, 11.5, 0.694], [0, 1]]
[[0.446, 14.373, 11.2, 0.746], [0.433, 13.693, 12.12, 0.746], [0, 1]]
[[0.448, 13.091, 10.891, 0.741], [0.456, 12.444, 9.426, 0.73], [0, 1]]
[[0.456, 12.683, 10.732, 0.748], [0.441, 13.573, 11.024, 0.765], [0, 1]]
[[0.45, 13.417, 10.722, 0.74], [0.446, 14.319, 11.194, 0.749], [0, 1]]
[[0.447, 13.814, 9.233, 0.707], [0.428, 15.375, 11.675, 0.707], [1, 0]]
[[0.428, 11.0, 12.471, 0.683], [0.393, 13.053, 11.263, 0.683], [1, 0]]
[[0.345, 11.5, 8.0, 0.592], [0.333, 8.5, 7.25, 0.576], [1, 0]]
[[0.437, 13.987, 11.592, 0.732], [0.439, 13.079, 10.711, 0.729], [0, 1]]
[[0.416, 17.75, 10.167, 0.676], [0.432, 13.405, 10.0, 0.712], [1, 0]]
[[0.41, 13.5, 9.0, 0.666], [0.404, 11.3, 10.0, 0.655], [1, 0]]
[[0.446, 13.308, 9.785, 0.76], [0.453, 13.162, 11.324, 0.727], [0, 1]]
[[0.441, 13.24, 10.32, 0.725], [0.442, 13.368, 10.342, 0.734], [1, 0]]
[[0.386, 10.875, 8.5, 0.704], [0.396, 18.75, 9.25, 0.715], [1, 0]]
[[0.442, 12.45, 10.3, 0.748], [0.441, 14.333, 11.722, 0.757], [0, 1]]
[[0.45, 13.319, 10.768, 0.744], [0.43, 13.574, 12.059, 0.745], [1, 0]]
[[0.436, 12.481, 9.407, 0.74], [0.442, 12.769, 10.615, 0.737], [0, 1]]
[[0.448, 13.667, 10.083, 0.728], [0.449, 14.141, 11.225, 0.765], [0, 1]]
[[0.443, 13.913, 10.333, 0.761], [0.448, 14.309, 11.162, 0.763], [0, 1]]
[[0.438, 15.218, 11.705, 0.71], [0.436, 13.526, 12.0, 0.744], [1, 0]]
[[0.459, 13.945, 9.145, 0.724], [0.431, 11.943, 11.792, 0.76], [0, 1]]
[[0.435, 11.653, 11.533, 0.759], [0.441, 13.413, 10.387, 0.734], [1, 0]]
[[0.446, 14.339, 11.435, 0.76], [0.453, 12.516, 9.594, 0.724], [1, 0]]
[[0.395, 12.625, 8.875, 0.686], [0.42, 11.7, 10.2, 0.682], [1, 0]]
[[0.447, 14.596, 11.574, 0.769], [0.448, 13.021, 10.208, 0.749], [1, 0]]
[[0.44, 12.698, 10.419, 0.746], [0.456, 12.841, 11.0, 0.711], [0, 1]]
